country,name,full_name,isin,currency,symbol
egypt,Arab Cotton Ginning,Arab Cotton Ginning,EGS32221C011,EGP,ACGC
egypt,AJWA Food Industries,AJWA for Food Industries company,EGS30211C014,EGP,AJWA
egypt,APSW,Unirab Polvara Spinning&Weaving Co,EGS32331C018,EGP,APSW
egypt,Citadel Capital - CS,Citadel Capital - Common Shares,EGS73541C012,EGP,CCAP
egypt,Commercial Int Bank,Commercial International Bank,EGS60121C018,EGP,COMI
egypt,EDBM,Egyptian for Developing Materials,EGS23141C012,EGP,EDBM
egypt,Egyptian Tourism Resorts,Egyptian for Tourism Resorts,EGS70431C019,EGP,EGTS
egypt,Egyptian Kuwaiti Hld,Egyptian Kuwaiti Holding,EGS69082C013,USD,EKHO
egypt,Electro Cable,Electro Cable Egypt,EGS3G231C011,EGP,ELEC
egypt,El Kahera Housing,El Kahera Housing,EGS65071C010,EGP,ELKA
egypt,Egypt for Poultry,Egypt for Poultry,EGS02211C018,EGP,EPCO
egypt,Ezz Steel,Ezz Steel,EGS3C251C013,EGP,ESRS
egypt,Telecom Egypt,Telecom Egypt,EGS48031C016,EGP,ETEL
egypt,Hermes Holding Co,Egyptian Financial Group-Hermes Hld,EGS69101C011,EGP,HRHO
egypt,Maridive & oil Svcs,Maridive & oil services,EGS44012C010,USD,MOIL
egypt,Egyptian Media Production City,Egyptian Media Production City,EGS78021C010,EGP,MPRC
egypt,National co maize products,National company for maize products,EGS30761C026,EGP,NCMP
egypt,National RE Bank,National Real Estate Bank,EGS65511C015,EGP,NRPD
egypt,SODIC,Six of October Development & Invest,EGS65851C015,EGP,OCDI
egypt,Global Telecom,Global Telecom Holding SAE,EGS74081C018,EGP,GTHE
egypt,Palm Hills Develop,Palm Hills Development Company,EGS655L1C012,EGP,PHDC
egypt,Pioneers Holding,Pioneers Holding,EGS691L1C018,EGP,PIOH
egypt,RTVC,Remco Touristic Villages Constr,EGS70271C019,EGP,RTVC
egypt,Sidi Kerir,Sidi Kerir Petrochemicals,EGS380S1C017,EGP,SKPC
egypt,South Valley Cement,South Valley Cement,EGS3C351C011,EGP,SVCE
egypt,El Sewedy Electric,El Sewedy Electric Co SAE,EGS3G0Z1C014,EGP,SWDY
egypt,T M G Holding,T M G Holding,EGS691S1C011,EGP,TMGH
egypt,El Saeed Contracting & RE Inv,El Saeed Contracting & Real Estate Investment,EGS21531C016,EGP,UEGC
egypt,ODIN Investments SAE,ODIN Investments SAE,EGS67181C015,EGP,ODIN
egypt,Acrow Misr,Acrow Misr,EGS3E071C013,EGP,ACRO
egypt,El Ahli Inv&Develop,El Ahli Investment and Development,EGS69021C011,EGP,AFDI
egypt,Assiut Islamic Trading,Assiut Islamic Trading,EGS50091C015,EGP,AITG
egypt,Egyptian RE Group,Egyptian Real Estate Group,EGS65211C012,EGP,AREH
egypt,Ascom,Asek Company for Mining - Ascom,EGS10001C013,EGP,ASCM
egypt,GB AUTO,GB AUTO,EGS673T1C012,EGP,AUTO
egypt,Gulf Canadian RE Inv Co,Gulf Canadian RE Investment Co.,EGS651B1C018,EGP,CCRS
egypt,Middle Egypt Flour Mills,Middle Egypt Flour Mills,EGS30401C011,EGP,CEFM
egypt,Cairo Oils & Soap,Cairo Oils & Soap,EGS30581C010,EGP,COSG
egypt,Canal Shipping Agencies,Canal Shipping Agencies,EGS44031C010,EGP,CSAG
egypt,DAPH,Development&Engineering Consultants,EGS65081C019,EGP,DAPH
egypt,Delta Construction&Rebuilding,Delta Construction & Rebuilding,EGS21451C017,EGP,DCRC
egypt,Delta Printing&Packaging,Delta For Printing & Packaging,EGS370W1C013,EGP,DTPP
egypt,Al Ezz,Al Ezz Ceramic & Porcelain,EGS3C071C015,EGP,ECAP
egypt,Egyptian Financial&Industrial,Egyptian Financial & Industrial,EGS38381C017,EGP,EFIC
egypt,Egyptians Housing Develop,Egyptians Housing Development,EGS65341C017,EGP,EHDR
egypt,El Nasr Agricultural Crops,El Nasr Agricultural Crops,EGS300L1C011,EGP,ELNA
egypt,El Shams,El Shams Housing & Urbanization,EGS65091C018,EGP,ELSH
