symbol,name,ticker
NCMP,National co maize products,NCMP.CA
NRPD,National RE Bank,NRPD.CA
GTHE,Global Telecom,GTHE.CA
PIOH,Pioneers Holding,PIOH.CA
AITG,Assiut Islamic Trading,AITG.CA
AUTO,GB AUTO,AUTO.CA
DCRC,Delta Construction&Rebuilding,DCRC.CA
MNHD,Medinet Nasr Housing,MNHD.CA
AIVC,Al Arafa Inv,AIVC.CA
QNBA,Qatar Natl Bank,QNBA.CA
PACH,Pachin,PACH.CA
ESGI,Egyptian Starch&Glucose,ESGI.CA
TORA,Torah Cement,TORA.CA
IRAX,EL Ezz Aldekhela Steel,IRAX.CA
ALEX,Alexandria Cement,ALEX.CA
APPC,APP,APPC.CA
EITP,Egyptian Int Tourism,EITP.CA
NCIN,Nile City Invest,NCIN.CA
SBAG,Suez Bags,SBAG.CA
SMPP,Modern Shorouk,SMPP.CA
UNBE,UNB-E,UNBE.CA
NBKE,National Bank of Kuwait,NBKE.CA
WATP,Bitumode,WATP.CA
PORT,Porto Group Holding SAE,PORT.CA
AGIN,Gulf Arab Investment,AGIN.CA
HCFI,Holding Company for Fin Investments,HCFI.CA
SNFI,Souhag National Food Industries,SNFI.CA
VODE,Vodafone Egypt Telecom,VODE.CA
ARPI,Arabian Rocks Plastic,ARPI.CA
PSAD,Port Saied  Agricultural,PSAD.CA
UNFO,Univert Food,UNFO.CA
PTCC,Pharaoh tech,PTCC.CA
UTOP,UTOPIA,UTOP.CA
BSRF,Brothers Solidarity,BSRF.CA
VERT,Vertika,VERT.CA
DIFC,Difco 2,DIFC.CA
MBEN,MB Engineering,MBEN.CA
SRWA,Sarwa Capital,SRWA.CA
