Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-01-03 00:00:00+02:00,3.259999990463257,3.3399999141693115,3.1600000858306885,3.200000047683716,335398,0.0,0.0,0.0
2021-01-04 00:00:00+02:00,3.200000047683716,3.4800000190734863,3.200000047683716,3.4100000858306885,1290177,0.0,0.0,0.0
2021-01-05 00:00:00+02:00,3.4100000858306885,3.75,3.430000066757202,3.680000066757202,2505991,0.0,0.0,0.0
2021-01-06 00:00:00+02:00,3.680000066757202,3.890000104904175,3.6600000858306885,3.759999990463257,1168419,0.0,0.0,0.0
2021-01-10 00:00:00+02:00,3.759999990463257,3.9100000858306885,3.5799999237060547,3.7300000190734863,1237197,0.0,0.0,0.0
2021-01-11 00:00:00+02:00,3.7300000190734863,3.9200000762939453,3.690000057220459,3.799999952316284,2050848,0.0,0.0,0.0
2021-01-12 00:00:00+02:00,3.799999952316284,4.150000095367432,3.8399999141693115,4.010000228881836,1715103,0.0,0.0,0.0
2021-01-13 00:00:00+02:00,4.010000228881836,4.369999885559082,3.9000000953674316,4.130000114440918,1777238,0.0,0.0,0.0
2021-01-14 00:00:00+02:00,4.130000114440918,4.289999961853027,4.059999942779541,4.170000076293945,853254,0.0,0.0,0.0
2021-01-17 00:00:00+02:00,4.170000076293945,4.170000076293945,3.9100000858306885,4.010000228881836,894884,0.0,0.0,0.0
2021-01-18 00:00:00+02:00,4.010000228881836,3.9600000381469727,3.700000047683716,3.799999952316284,1001741,0.0,0.0,0.0
2021-01-19 00:00:00+02:00,3.799999952316284,4.179999828338623,3.700000047683716,4.079999923706055,2466338,0.0,0.0,0.0
2021-01-20 00:00:00+02:00,4.079999923706055,4.28000020980835,4.070000171661377,4.170000076293945,886908,0.0,0.0,0.0
2021-01-21 00:00:00+02:00,4.170000076293945,4.199999809265137,3.9100000858306885,4.03000020980835,1014031,0.0,0.0,0.0
2021-01-24 00:00:00+02:00,4.03000020980835,4.309999942779541,4.0,4.21999979019165,1349014,0.0,0.0,0.0
2021-01-25 00:00:00+02:00,4.21999979019165,4.21999979019165,4.21999979019165,4.21999979019165,0,0.0,0.0,0.0
2021-01-26 00:00:00+02:00,4.300000190734863,4.320000171661377,4.119999885559082,4.230000019073486,867843,0.0,0.0,0.0
2021-01-27 00:00:00+02:00,4.230000019073486,4.260000228881836,4.099999904632568,4.139999866485596,340416,0.0,0.0,0.0
2021-01-31 00:00:00+02:00,4.139999866485596,4.230000019073486,4.039999961853027,4.099999904632568,425801,0.0,0.0,0.0
2021-02-01 00:00:00+02:00,4.099999904632568,4.340000152587891,4.110000133514404,4.239999771118164,804918,0.0,0.0,0.0
2021-02-02 00:00:00+02:00,4.239999771118164,4.659999847412109,4.260000228881836,4.480000019073486,1882100,0.0,0.0,0.0
2021-02-03 00:00:00+02:00,4.480000019073486,4.739999771118164,4.369999885559082,4.510000228881836,869770,0.0,0.0,0.0
2021-02-04 00:00:00+02:00,4.510000228881836,4.539999961853027,4.300000190734863,4.369999885559082,963108,0.0,0.0,0.0
2021-02-07 00:00:00+02:00,4.369999885559082,5.28000020980835,4.75,5.039999961853027,2549813,0.0,0.0,0.0
2021-02-08 00:00:00+02:00,5.039999961853027,5.539999961853027,5.409999847412109,5.53000020980835,1828220,0.0,0.0,0.0
2021-02-09 00:00:00+02:00,5.53000020980835,6.039999961853027,5.400000095367432,5.75,1667643,0.0,0.0,0.0
2021-02-10 00:00:00+02:00,5.75,6.179999828338623,5.900000095367432,6.050000190734863,1290550,0.0,0.0,0.0
2021-02-11 00:00:00+02:00,6.050000190734863,6.630000114440918,6.199999809265137,6.429999828338623,842602,0.0,0.0,0.0
2021-02-14 00:00:00+02:00,6.429999828338623,7.070000171661377,6.639999866485596,7.010000228881836,760347,0.0,0.0,0.0
2021-02-15 00:00:00+02:00,7.010000228881836,7.710000038146973,7.389999866485596,7.670000076293945,715570,0.0,0.0,0.0
2021-02-16 00:00:00+02:00,7.670000076293945,8.430000305175781,6.909999847412109,7.420000076293945,3926816,0.0,0.0,0.0
2021-02-17 00:00:00+02:00,7.420000076293945,6.679999828338623,6.679999828338623,6.679999828338623,63280,0.0,0.0,0.0
2021-02-18 00:00:00+02:00,6.679999828338623,6.579999923706055,6.019999980926514,6.139999866485596,4878121,0.0,0.0,0.0
2021-02-21 00:00:00+02:00,6.139999866485596,6.300000190734863,5.920000076293945,6.110000133514404,1378923,0.0,0.0,0.0
2021-02-22 00:00:00+02:00,6.110000133514404,6.28000020980835,5.800000190734863,6.059999942779541,2321628,0.0,0.0,0.0
2021-02-23 00:00:00+02:00,6.059999942779541,6.090000152587891,5.570000171661377,5.789999961853027,1243621,0.0,0.0,0.0
2021-02-24 00:00:00+02:00,5.789999961853027,5.75,5.5,5.590000152587891,1051258,0.0,0.0,0.0
2021-02-25 00:00:00+02:00,5.590000152587891,5.880000114440918,5.570000171661377,5.679999828338623,1198348,0.0,0.0,0.0
2021-02-28 00:00:00+02:00,5.679999828338623,5.599999904632568,5.159999847412109,5.389999866485596,912706,0.0,0.0,0.0
2021-03-01 00:00:00+02:00,5.389999866485596,5.329999923706055,5.099999904632568,5.190000057220459,758807,0.0,0.0,0.0
2021-03-02 00:00:00+02:00,5.190000057220459,5.340000152587891,4.809999942779541,5.110000133514404,791235,0.0,0.0,0.0
2021-03-03 00:00:00+02:00,5.110000133514404,4.900000095367432,4.599999904632568,4.690000057220459,832938,0.0,0.0,0.0
2021-03-04 00:00:00+02:00,4.690000057220459,4.690000057220459,4.690000057220459,4.690000057220459,0,0.0,0.0,0.0
2021-03-07 00:00:00+02:00,4.909999847412109,5.400000095367432,5.269999980926514,5.369999885559082,399127,0.0,0.0,0.0
2021-03-08 00:00:00+02:00,5.369999885559082,5.980000019073486,5.389999866485596,5.730000019073486,2197754,0.0,0.0,0.0
2021-03-09 00:00:00+02:00,5.730000019073486,5.670000076293945,5.21999979019165,5.429999828338623,969225,0.0,0.0,0.0
2021-03-10 00:00:00+02:00,5.429999828338623,5.949999809265137,5.070000171661377,5.619999885559082,2115918,0.0,0.0,0.0
2021-03-11 00:00:00+02:00,5.619999885559082,5.829999923706055,5.400000095367432,5.570000171661377,843469,0.0,0.0,0.0
2021-03-14 00:00:00+02:00,5.570000171661377,5.699999809265137,5.28000020980835,5.449999809265137,507886,0.0,0.0,0.0
2021-03-15 00:00:00+02:00,5.449999809265137,5.400000095367432,4.909999847412109,5.039999961853027,353602,0.0,0.0,0.0
2021-03-16 00:00:00+02:00,5.039999961853027,4.809999942779541,4.539999961853027,4.599999904632568,2245005,0.0,0.0,0.0
2021-03-17 00:00:00+02:00,4.599999904632568,4.599999904632568,4.139999866485596,4.260000228881836,1119778,0.0,0.0,0.0
2021-03-18 00:00:00+02:00,4.260000228881836,4.190000057220459,3.9000000953674316,4.0,625678,0.0,0.0,0.0
2021-03-21 00:00:00+02:00,4.0,4.110000133514404,3.5999999046325684,3.799999952316284,737258,0.0,0.0,0.0
2021-03-22 00:00:00+02:00,3.799999952316284,3.799999952316284,3.4200000762939453,3.5,639346,0.0,0.0,0.0
2021-03-23 00:00:00+02:00,3.5,3.390000104904175,3.1500000953674316,3.200000047683716,534096,0.0,0.0,0.0
2021-03-24 00:00:00+02:00,3.200000047683716,3.390000104904175,3.0,3.2200000286102295,445725,0.0,0.0,0.0
2021-03-25 00:00:00+02:00,3.2200000286102295,3.299999952316284,3.0,3.1500000953674316,351793,0.0,0.0,0.0
2021-03-28 00:00:00+02:00,3.1500000953674316,3.4600000381469727,3.200000047683716,3.430000066757202,669041,0.0,0.0,0.0
2021-03-29 00:00:00+02:00,3.430000066757202,3.7699999809265137,3.549999952316284,3.7100000381469727,909700,0.0,0.0,0.0
2021-03-30 00:00:00+02:00,3.7100000381469727,4.079999923706055,3.869999885559082,3.990000009536743,950677,0.0,0.0,0.0
2021-03-31 00:00:00+02:00,3.990000009536743,4.21999979019165,3.759999990463257,4.039999961853027,1335373,0.0,0.0,0.0
2021-04-01 00:00:00+02:00,4.039999961853027,4.349999904632568,4.019999980926514,4.239999771118164,929717,0.0,0.0,0.0
2021-04-04 00:00:00+02:00,4.239999771118164,4.380000114440918,3.940000057220459,4.130000114440918,745978,0.0,0.0,0.0
2021-04-05 00:00:00+02:00,4.130000114440918,4.050000190734863,3.7200000286102295,3.8499999046325684,618395,0.0,0.0,0.0
2021-04-06 00:00:00+02:00,3.8499999046325684,4.190000057220459,3.619999885559082,3.940000057220459,1209192,0.0,0.0,0.0
2021-04-07 00:00:00+02:00,3.940000057220459,4.119999885559082,3.8399999141693115,4.0,377388,0.0,0.0,0.0
2021-04-08 00:00:00+02:00,4.0,4.150000095367432,3.930000066757202,4.059999942779541,589845,0.0,0.0,0.0
2021-04-11 00:00:00+02:00,4.059999942779541,4.460000038146973,4.150000095367432,4.329999923706055,1562789,0.0,0.0,0.0
2021-04-12 00:00:00+02:00,4.329999923706055,4.659999847412109,4.380000114440918,4.510000228881836,1046119,0.0,0.0,0.0
2021-04-13 00:00:00+02:00,4.510000228881836,4.5,4.119999885559082,4.309999942779541,652217,0.0,0.0,0.0
2021-04-14 00:00:00+02:00,4.309999942779541,4.269999980926514,3.880000114440918,4.0,493825,0.0,0.0,0.0
2021-04-15 00:00:00+02:00,4.0,4.070000171661377,3.630000114440918,3.799999952316284,582741,0.0,0.0,0.0
2021-04-18 00:00:00+02:00,3.799999952316284,4.0,3.880000114440918,3.950000047683716,359605,0.0,0.0,0.0
2021-04-19 00:00:00+02:00,3.950000047683716,4.099999904632568,3.869999885559082,4.03000020980835,222814,0.0,0.0,0.0
2021-04-20 00:00:00+02:00,4.03000020980835,4.170000076293945,4.0,4.079999923706055,351673,0.0,0.0,0.0
2021-04-21 00:00:00+02:00,4.079999923706055,4.380000114440918,4.03000020980835,4.230000019073486,1272838,0.0,0.0,0.0
2021-04-22 00:00:00+02:00,4.230000019073486,4.46999979019165,4.300000190734863,4.400000095367432,1150279,0.0,0.0,0.0
2021-04-25 00:00:00+02:00,4.400000095367432,4.489999771118164,4.340000152587891,4.409999847412109,422581,0.0,0.0,0.0
2021-04-26 00:00:00+02:00,4.409999847412109,4.360000133514404,4.099999904632568,4.179999828338623,540529,0.0,0.0,0.0
2021-04-27 00:00:00+02:00,4.179999828338623,4.389999866485596,4.059999942779541,4.260000228881836,882513,0.0,0.0,0.0
2021-04-28 00:00:00+02:00,4.260000228881836,4.360000133514404,4.170000076293945,4.260000228881836,466333,0.0,0.0,0.0
2021-05-04 00:00:00+02:00,4.260000228881836,4.409999847412109,4.179999828338623,4.28000020980835,649543,0.0,0.0,0.0
